id,name,capital,continent,currency
179,Tunisia,Tunis,Africa,Tunisian dinar
180,Turkey,Ankara,Europe/ Asia,Turkish lira
181,Turkmenistan,Ashgabat,Asia,Manat
182,Tuvalu,Funafuti province,Oceania,Tuvaluan Dollar
183,Uganda,Kampala,Africa,Ugandan new shilling
184,Ukraine,Kiev,Europe,Hryvnia
185,United Arab Emirates,Abu Dhabi,Asia,U.A.E. Dirham
186,United Kingdom,London,Europe,Pound sterling
187,United States of America,Washington D.C.,North America,Dollar
188,Uruguay,Montevideo,South America,Uruguay peso
189,Uzbekistan,Tashkent,Asia,Uzbekistani sum
190,Vanuatu,Port-Vila,Oceania,Vatu
191,Vatican City (Holy See),Vatican City,Europe,Euro
192,Venezuela,Caracas,South America,Bolivar
193,Vietnam,Hanoi,Asia,Dong
194,Yemen,Sanaa,Asia,Rial
195,Zambia,Lusaka,Africa,Kwacha
